dim,tau,score
3,1,3.0510875890440667
3,2,3.046861411617146
3,3,3.0399290511112227
3,4,3.0303535857178696
3,5,3.0181978915376955
3,6,3.0110769064200538
3,7,2.994332329092026
3,8,2.9751661085951655
3,9,2.9536353087357043
3,10,2.98963452731266
3,11,2.982097628142576
3,12,2.9676099372327003
3,13,2.9520107302988317
3,14,2.935321566780309
3,15,2.917560451875413
3,16,2.9033877680052167
3,17,2.8839126598567364
3,18,2.8634353099619134
3,19,2.8419864603311376
3,20,2.819593035299622
3,21,2.7986343050669755
3,22,2.7748572186502427
3,23,2.7502281469734746
3,24,2.7247847059551393
3,25,2.698560322674804
3,26,2.6715533093838326
3,27,2.6443341660508684
3,28,2.6164295736620944
3,29,2.5878745572502555
3,30,2.5586999345134758
3,31,2.526604746780545
3,32,2.4967860071483687
3,33,2.466437219217533
3,34,2.4355913820870385
3,35,2.404277161475196
3,36,2.3680855526704705
3,37,2.3364367003290734
3,38,2.3043942803743165
3,39,2.2719849874073352
4,1,4.066401713827052
4,2,4.055798534627253
4,3,4.038495501910638
4,4,4.0247809130543155
4,5,3.995560903301516
4,6,3.9602713893949937
4,7,4.000284041851231
4,8,3.97625684866549
4,9,3.949390821669252
4,10,3.9197583977846517
4,11,3.8939141189751685
4,12,3.8596971918927556
4,13,3.822947460134851
4,14,3.7869809991844576
4,15,3.746287748353494
4,16,3.703341231527114
4,17,3.6579336505766533
4,18,3.6118095050883414
4,19,3.5637747437893776
4,20,3.5139471626252226
4,21,3.459579813563572
4,22,3.407515393087823
4,23,3.3539837726673407
4,24,3.292898262557171
4,25,3.237805147607579
4,26,3.1815254518399843
4,27,3.1150069442498665
4,28,3.0577271181735672
4,29,2.9995113468433825
4,30,2.940436798769707
4,31,2.870045725190282
4,32,2.810513155112595
4,33,2.750303585254369
4,34,2.6770871552186573
4,35,2.6167042480087943
4,36,2.5557644395592436
4,37,2.4806600542579256
4,38,2.4197142526146274
4,39,2.3583043007549414
5,1,5.080249213376294
5,2,5.059066508118502
5,3,5.037234006697071
5,4,4.991561987829416
5,5,5.008755267280091
5,6,4.982502988452589
5,7,4.941104987384797
5,8,4.901979776200934
5,9,4.850876148071992
5,10,4.794573668005052
5,11,4.738097305759413
5,12,4.673522669410869
5,13,4.604530256855496
5,14,4.532961810922176
5,15,4.457493808361617
5,16,4.37524802862112
5,17,4.294577390216141
5,18,4.202936428950719
5,19,4.118211121361669
5,20,4.030914197179694
5,21,3.930862373615492
5,22,3.8409247069372374
5,23,3.7349134805580353
5,24,3.6431294015431988
5,25,3.5497532078040583
5,26,3.4395268616781096
5,27,3.3451545013050357
5,28,3.23184080673839
5,29,3.136839689282916
5,30,3.0408250426607175
5,31,2.9261455650717867
5,32,2.8298880917951297
5,33,2.7141573991514267
5,34,2.6178464546060685
5,35,2.5208954038469065
5,36,2.4056456291128985
5,37,2.309008821184174
5,38,2.194213946454244
5,39,2.0982181376425624
6,1,6.092274262267884
6,2,6.055343149001879
6,3,6.011941264202069
6,4,6.016767521313621
6,5,5.976717793468316
6,6,5.915402720040619
6,7,5.854966724630732
6,8,5.77652282610941
6,9,5.69548139409954
6,10,5.602015268219228
6,11,5.502257271745055
6,12,5.396263907054796
6,13,5.280392293178014
6,14,5.1644401506970565
6,15,5.035096792078935
6,16,4.911523261137978
6,17,4.771394144953189
6,18,4.642256033794479
6,19,4.493883199777088
6,20,4.360869725932521
6,21,4.206509157289419
6,22,4.070863093806562
6,23,3.912452166412314
6,24,3.775095494479834
6,25,3.6141859715913602
6,26,3.4757612876516886
6,27,3.313612360230277
6,28,3.174636028517188
6,29,3.012345914765704
6,30,2.8733741196592355
6,31,2.7119820795194194
6,32,2.573730192954458
6,33,2.4143884985607635
6,34,2.2778862267097537
6,35,2.1219012763350364
6,36,1.9885146576397685
6,37,1.8373978474716202
6,38,1.7087721648680287
6,39,1.5641689013902853
7,1,7.102127344071179
7,2,7.060890779856275
7,3,7.044997802642455
7,4,6.992589287810966
7,5,6.911766229723438
7,6,6.828122614282439
7,7,6.725213952361686
7,8,6.605506782647051
7,9,6.47394478705594
7,10,6.332670972862235
7,11,6.17725519276791
7,12,6.00777734427824
7,13,5.844745435017385
7,14,5.658972707402427
7,15,5.48531465194995
7,16,5.287687372563056
7,17,5.082765191925329
7,18,4.900969899538313
7,19,4.690010591513877
7,20,4.504236382359726
7,21,4.289755231615769
7,22,4.073051680192655
7,23,3.885384067880259
7,24,3.668299025194406
7,25,3.4797008046800872
7,26,3.263791286165782
7,27,3.048861555497091
7,28,2.862749105608631
7,29,2.6519833152061643
7,30,2.469438993100813
7,31,2.2653626435253233
7,32,2.065582488590681
7,33,1.8949549860703965
7,34,1.7063432973643424
7,35,1.5471264190489196
7,36,1.372692971446222
7,37,1.2058397604155024
7,38,1.0699868839331974
7,39,0.9208815389887322
8,1,8.109465166933505
8,2,8.042936594466251
8,3,8.03509462555649
8,4,7.939465853443522
